SUSPECT_ID,NAME,SEX,AGE,HEIGHT
401,Nasim Santana,1,64,2
402,September Atkinson,2,57,1
403,Quincy Clements,2,66,1
404,Maris Vance,2,61,2
405,Wang More0,1,34,2
406,Ursula Gentry,2,41,2
407,Jethro Lucas,1,73,2
408,Quon Buchanan,1,81,2
409,Teegan Cruz,2,50,1
410,Hedwig Finley,2,19,3
411,Kylynn Reed,2,60,1
412,Harl Sanders,1,46,1
413,Codine Henderson,2,68,1
414,Joseph Aurelia,1,32,2
415,Hillary Morales,1,71,2
416,Tarik Pace,2,56,3
417,Sean Barnes,1,61,3
418,Zelenia Cochran,2,44,3
419,Malike Branch,2,76,3
420,Lani Foley,1,18,1
421,Orli Parks,2,81,3
422,TaShya Witt,1,60,1
423,Quemby Ewing,1,40,2
424,Eliana Mccall,2,27,1
425,Alana Keith,2,41,1
426,Vaughan Pena,1,64,3
427,Vera Cote,2,59,1
428,Josh Stone,1,42,2
429,Alan Manning,1,35,1
430,Clark Smith,1,77,2
431,Emily Conley,2,64,2
432,Griffin Owens,2,27,1
433,Harl Vincent,1,33,1
434,Olympian Newman,1,63,2
435,Hamilton Hutchinson,2,40,3
436,Olive Powers,2,29,1
437,Upton Parker,2,75,2
438,Branton Henry,2,76,3
439,Elvis Becker,1,35,1
440,Zenaida 0rris,2,81,1
441,Winifred Fleming,2,47,3
442,Afrran Sargent,1,35,1
443,Melissa Bradshaw,2,21,1
444,Talon Fields,2,66,1
445,Caryn Collier,2,38,1
446,0rman Alvarado,1,46,2
447,Julian Dennis,1,59,2
448,Timon Cunningham,2,55,1
449,Tater Lambert,1,76,3
450,Fletchley Benjamin,2,52,2
451,Moll Le,1,32,1
452,Dander Ratliff,1,31,2
453,Wylie Mendoza,1,65,2
454,Hendan Butler,1,52,3
455,Kimberley K0wles,2,84,3
456,Zephr Francis,1,40,3
457,Brexley Rhodes,2,69,2
458,Tad Livingston,1,37,2
459,Uriah Ingram,1,20,1
460,Ciara Santana,2,81,2
461,Ardmore Sutton,1,28,2
462,Quamar Wells,2,79,3
463,Alice Gaines,2,32,1
464,Holden Serra0,1,71,1
465,Madaline Lopez,2,33,3
466,Dani Zamora,2,71,2
467,Wynne Valentine,1,32,3
468,Kennedy Guzman,2,76,1
469,Ayanna Poole,2,75,1
470,Mufutau Mckay,1,77,3
471,Echo Calderon,2,27,1
472,Reed Sullivan,1,76,3
473,Rachel Gay,2,20,2
474,Rajah Pacheco,2,20,1
475,Ezekiel Alston,1,78,1
476,0ble Bridges,2,71,1
477,0rman Strickland,1,28,2
478,Oliver Holt,1,73,3
479,Sybill Donaldson,2,50,2
480,Preston Nieves,2,46,3
481,Charity Mcdaniel,2,53,1
482,Joe Cruz,1,26,2
483,Chaim Lambert,1,67,3
484,Scope Avila,2,71,1
485,Ahmed K0wles,2,46,1
486,Ina Lee,2,32,2
487,Brynn Parks,2,51,1
488,Tanek Mercado,2,54,2
489,Xavier Hebert,1,44,2
490,Dan Livingston,1,48,2
491,Lynn Lopez,2,85,1
492,Philip Mcknight,1,51,1
493,Lawrie Hammond,2,31,2
494,Raphael Castaneda,2,73,3
495,Palmer Ray,2,79,3
496,Oren Quinn,1,76,1
497,Alvin Park,2,48,2
498,Clark Moses,2,43,1
499,Graham Cain,1,40,3
500,Stacy Bennett,2,49,3
