suspect_id,name,gender,age,height,hair_color,eye_color,facial_hair,tattoos,galsses,scars,feet_size,status
201,Fritz Moody,Male,51,Medium,Black,Brown,Yes,Yes,No,No,Large,Guilty
202,Hillary Cobb,Female,32,Medium,Blonde,Brown,Yes,No,No,Yes,Medium,Guilty
203,Britanney Randolph,Female,52,Short,Black,Brown,No,Yes,No,No,Large,Guilty
204,Shad Gentry,Male,44,Medium,Red,Green,Yes,No,Yes,Yes,Large,Guilty
205,Reese Lowery,Male,69,Medium,Brown,Brown,Yes,No,Yes,No,Small,Guilty
206,Clinton Fitzgerald,Male,60,Tall,Red,Blue,Yes,No,Yes,Yes,Large,Guilty
207,Myles Tucker,Male,85,Short,Blonde,Green,No,Yes,Yes,Yes,Medium,Guilty
208,Rafael Fisher,Female,85,Short,Red,Green,Yes,No,No,Yes,Large,Guilty
209,Aretha Perkins,Female,55,Medium,Black,Brown,Yes,No,No,No,Small,Guilty
210,Nasim Jennings,Female,21,Short,Blonde,Blue,No,Yes,No,Yes,Medium,Guilty
211,Mia Greer,Female,78,Short,Black,Brown,Yes,No,No,Yes,Small,Guilty
212,Byron Underwood,Male,18,Short,Black,Green,Yes,No,Yes,Yes,Small,Guilty
213,Martin Gilbert,Male,42,Short,Brown,Brown,No,No,Yes,Yes,Medium,Guilty
214,Buffy Montoya,Female,62,Tall,Red,Blue,Yes,No,Yes,No,Medium,Guilty
215,Mikayla Hooper,Female,57,Medium,Red,Brown,Yes,No,Yes,Yes,Medium,Guilty
216,Jescie Nolan,Male,46,Short,Black,Green,Yes,Yes,Yes,No,Medium,Guilty
217,Angel Garza,Male,19,Tall,Brown,Brown,Yes,Yes,Yes,Yes,Small,Guilty
218,Damon Lindsey,Male,22,Short,Blonde,Brown,No,No,No,Yes,Small,Guilty
219,Hermione Stanley,Female,48,Tall,Black,Green,Yes,No,Yes,Yes,Large,Guilty
220,Howard Mcneil,Male,44,Short,Blonde,Green,Yes,No,Yes,No,Large,Guilty
221,Palmer Macias,Male,79,Medium,Red,Brown,No,Yes,Yes,No,Large,Guilty
222,Briary Barnett,Female,51,Short,Black,Blue,Yes,Yes,Yes,Yes,Medium,Guilty
