suspect_id,name,gender,age,height,hair_color,eye_color,facial_hair,tattoos,galsses,scars,feet_size,status
101,Leilani Farrell,Female,47,Short,Blonde,Blue,No,No,Yes,Yes,Large,Not Guilty
102,William Carroll,Male,80,Medium,Red,Brown,Yes,Yes,Yes,No,Large,Not Guilty
103,Kitra Sanchez,Male,19,Medium,Brown,Blue,Yes,Yes,Yes,No,Large,Not Guilty
104,Holmes Cabrera,Male,24,Short,Black,Brown,No,No,Yes,Yes,Medium,Not Guilty
105,Carlos Rice,Male,33,Short,Blonde,Blue,No,No,No,No,Medium,Not Guilty
106,Charlotte Workman,Female,70,Tall,Black,Brown,No,No,No,Yes,Large,Not Guilty
107,Erica England,Female,75,Short,Black,Brown,No,Yes,Yes,No,Medium,Not Guilty
108,Andrew Willis,Male,85,Medium,Brown,Green,Yes,Yes,No,Yes,Medium,Not Guilty
109,Blair Powell,Female,79,Medium,Brown,Blue,No,No,Yes,Yes,Large,Not Guilty
110,Trevor Tanner,Male,47,Medium,Black,Blue,Yes,Yes,Yes,No,Large,Not Guilty
111,Unity Owens,Male,78,Medium,Blonde,Brown,Yes,Yes,Yes,No,Large,Not Guilty
112,Harry Carney,Male,82,Tall,Black,Brown,No,Yes,No,Yes,Large,Not Guilty
113,Jasmine Day,Female,35,Medium,Brown,Blue,Yes,Yes,Yes,No,Large,Not Guilty
114,Lucian Mejia,Male,24,Tall,Brown,Green,No,No,No,Yes,Small,Not Guilty
115,Susan Nunez,Female,19,Short,Red,Brown,No,No,No,No,Small,Not Guilty
116,Keefe Melton,Male,42,Tall,Red,Brown,No,Yes,No,No,Small,Not Guilty
117,Andy Tillman,Male,36,Tall,Black,Brown,Yes,No,Yes,No,Small,Not Guilty
118,Tatyana Logan,Female,71,Medium,Black,Green,Yes,Yes,No,No,Large,Not Guilty
119,Carl Eaton,Male,58,Short,Blonde,Green,No,Yes,No,Yes,Large,Not Guilty
120,Cecil Walls,Male,76,Medium,Blonde,Brown,No,No,No,No,Small,Not Guilty
121,Morgan Singleton,Male,18,Medium,Red,Brown,Yes,No,No,Yes,Medium,Not Guilty
122,Fay Rodriguez,Female,38,Short,Blonde,Blue,No,Yes,No,Yes,Large,Not Guilty
123,Kuame Rivera,Female,66,Medium,Brown,Brown,Yes,No,Yes,No,Medium,Not Guilty
124,Lacey Singleton,Male,21,Short,Red,Green,No,No,No,Yes,Medium,Not Guilty
125,Leonard Waters,Male,59,Short,Brown,Brown,No,No,No,Yes,Medium,Not Guilty
126,Heather Thornton,Female,40,Short,Black,Green,Yes,Yes,Yes,No,Small,Not Guilty
127,Joan Sawyer,Female,55,Medium,Brown,Brown,No,No,No,No,Large,Not Guilty
128,Josephine Rios,Female,34,Short,Red,Blue,Yes,Yes,No,Yes,Medium,Not Guilty
129,Glenna Cross,Female,66,Short,Blonde,Green,Yes,No,Yes,Yes,Medium,Not Guilty
